district_id,district_name,chunk,centroid_lat,centroid_lon
76128533B55878637000592,Anjaw,eastern,28.07072923746033,96.84257576798761
76128533B95910687666425,Siang,eastern,28.299140384052162,94.99452967106254
76128533B11651252780045,Dibang Valley,eastern,28.857065843723472,95.91166534427299
76128533B31405919461443,Kurung Kumey,eastern,28.002297404435282,93.2297846259815
76128533B61235952222315,West Kameng,eastern,27.295304920440795,92.38639671304267
76128533B38784530776316,Lower Dibang Valley,eastern,28.245963950639812,95.8606236284511
76128533B18668117085772,Tawang,eastern,27.65262304146918,91.95256942854152
76128533B17472905712757,Papum Pare,eastern,27.283471718987702,93.61323137052379
76128533B91472319248603,Goalpara,eastern,26.05502466228052,90.60479921236339
76128533B40995085026980,Nalbari,eastern,26.369911629119247,91.39053603243457
76128533B25835998628545,Dhubri,eastern,26.181690363723174,90.05004220696073
76128533B21722277889516,Sivasagar,eastern,26.960889607972202,94.66065226499589
76128533B23092176497025,Karimganj,eastern,24.576976351217553,92.38131184189031
76128533B8920527783032,Tinsukia,eastern,27.585383389200505,95.61780833125918
76128533B16749627383755,Hailakandi,eastern,24.49266661172752,92.58881664834772
76128533B56012535339305,Chirang,eastern,26.651938020106375,90.62693662688791
76128533B50650763703739,Dhemaji,eastern,27.574013397474154,94.76331585038483
76128533B17968019348564,Morigaon,eastern,26.277957925411094,92.28029457681484
76128533B38548995376745,Karbi Anglong East,eastern,26.151866857334404,93.40704119001916
76128533B85627242103654,Lakhimpur,eastern,27.165394597626857,94.11875925266716
76128533B46490409917345,Bongaigaon,eastern,26.371522111248368,90.62375444796533
76128533B8221925175605,Baksa,eastern,26.661919126132968,91.36083748933552
76128533B13437137070957,Nagaon,eastern,26.36289303773714,92.76206376579881
76128533B26964150246712,Cachar,eastern,24.811394145836942,92.85408249518298
76128533B96719327593873,Darrang,eastern,26.449060418682727,92.05058532034583
76128533B66682530790248,Kamrup,eastern,26.10832687217874,91.40245955621229
76128533B57825981663822,Dibrugarh,eastern,27.350406886463887,95.04568924210446
76128533B47772746709007,Barpeta,eastern,26.342541553675897,91.00331384272667
76128533B41005496708834,Sonitpur,eastern,26.75951951420724,92.71097213975757
76128533B20307518801538,Udalguri,eastern,26.72751254191348,92.0362089316494
76128533B55519385298440,Golaghat,eastern,26.44247939566888,93.82799168589979
76128533B38230828972906,Kamrup Metropolitan,eastern,26.097558922467467,91.84455300591685
76128533B66125202864966,Dima Hasao,eastern,25.37734409854693,93.03289159640109
76128533B91480770176940,Kokrajhar,eastern,26.5331191970637,90.14221830012727
76128533B334793883930,Jorhat,eastern,26.697073956850176,94.2759857804812
76128533B38141181853016,Kolasib,eastern,24.14402388880426,92.71864257566317
76128533B59855617266389,Chandel,eastern,24.13771824851397,94.01604915704569
76128533B11421856387892,Tamenglong,eastern,25.046236484000104,93.54247716750743
76128533B44190672061408,Ukhrul,eastern,25.23055099775204,94.43271996189047
76128533B14403163214152,Bishnupur,eastern,24.53341596300801,93.79526948124997
76128533B50969226102213,Churachandpur,eastern,24.285666579366644,93.60157444092829
76128533B44197302080139,Thoubal,eastern,24.619185083046315,94.01297391036103
76128533B30779259886340,Imphal East,eastern,24.838284872853762,94.0102495202585
76128533B56326354019534,Kangpokpi,eastern,25.002739120981246,93.94277768737486
76128533B99807650893733,Imphal West,eastern,24.772333217272188,93.86672959865659
76128533B23611090346849,Mon,eastern,26.67240813335052,95.02303415698925
76128533B82052450002431,Tuensang,eastern,26.16937167309313,94.89091844520489
76128533B82793215586362,Mokokchung,eastern,26.47960700411204,94.53792237593784
76128533B66411945144923,Longleng,eastern,26.571328083232014,94.80954401867962
76128533B13733639953372,Phek,eastern,25.64910077105971,94.5450242804799
76128533B53671786151110,Kohima,eastern,25.77390990001305,94.10692807224073
76128533B67210465807627,Wokha,eastern,26.203371107268712,94.20157723848445
76128533B58058152513003,Zunheboto,eastern,26.006091264143897,94.48895489788734
76128533B49100243723360,Kiphire,eastern,25.83437923051048,94.83506653020721
76128533B85747247216737,Dimapur,eastern,25.79421292949408,93.79672055120771
76128533B2970909480221,Peren,eastern,25.498661652234333,93.62136263269089
76128533B4720703924950,Unokoti,eastern,24.197052700098958,92.03623457020838
76128533B77134386587213,North Tripura,eastern,24.10385526098793,92.20798423966609
76128533B79750857313751,South Garo Hills,eastern,25.309257217983088,90.57743610047997
76128533B70570208114113,Ribhoi,eastern,25.87001255876607,91.88211431013067
